AREA;Regione;prov;2015_CodCom;NTN 2015 fino a 50 mq;NTN 2015 50 -| 85 mq;NTN 2015  85 -| 115 mq;NTN 2015 115 -| 145 mq;NTN 2015  oltre 145 mq;NTN 2015_TOTALE
Centro;Lazio;RM;A132;23,5;114,19;114,33;43,5;22,71;318,23
Nord Ovest;Lombardia;PV;A134;0;1;1;0;1;3
Nord Ovest;Lombardia;SO;A135;1;1;0;0;0;2
Nord Est;Veneto;VR;A137;2;3;2,5;6,5;10,51;24,51
Nord Est;Emilia-Romagna;PR;A138;1;4,75;3,75;1;7,08;17,58
Nord Ovest;Piemonte;CN;A139;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;A143;1;11,2;11,5;4;6,5;34,2
Nord Ovest;Liguria;SV;A145;32;89,19;46,04;19,5;9;195,73
Nord Ovest;Piemonte;AL;A146;0;1;0;0;0;1
Sud;Puglia;BA;A149;12;11,94;12,5;17,03;7,99;61,46
Sud;Puglia;FG;A150;6;5,5;1;0;0;12,5
Nord Ovest;Lombardia;CO;A153;0;4;4,5;6;6;20,5
Nord Est;Veneto;VI;A154;0;0;0;1;1;2
Sud;Calabria;CZ;A155;0;0;0;0;0;0
Nord Ovest;Piemonte;TO;A157;0;1;1;4;3;9
Nord Ovest;Lombardia;MI;A159;2;22,5;22,5;6,5;6,5;60
Sud;Calabria;CS;A160;1;1;0;0;1;3
Nord Est;Veneto;PD;A161;2;64,5;93;73,17;73,67;306,34
Nord Est;Emilia-Romagna;RE;A162;0;10,5;13;11;19;53,5
Nord Ovest;Lombardia;BG;A163;8;41;48,38;23,06;21,38;141,82
Nord Ovest;Lombardia;CO;A164;1;7,92;7;1;1;17,92
Nord Ovest;Liguria;SV;A165;4,91;34,5;12,17;7,25;7,67;66,5
Nord Ovest;Liguria;SV;A166;11,5;49,92;25,05;6,68;7;100,15
Nord Ovest;Lombardia;VA;A167;0;14,11;9;2;12;37,11
Nord Ovest;Lombardia;PV;A171;0;0;0,5;1;0,5;2
Nord Ovest;Lombardia;SO;A172;1;5,34;4;3;1,5;14,84
Nord Ovest;Piemonte;AT;A173;0;1;0;0;3;4
Nord Ovest;Lombardia;PV;A175;1;3,5;8;4,5;4;21
Isole;Sicilia;TP;A176;17,66;66,55;81,67;51,34;35,08;252,3
Isole;Sicilia;ME;A177;2;7;0;1;3;13
Isole;Sardegna;OR;A180;0;1;1;0,5;1;3,5
Isole;Sicilia;AG;A181;1;6,67;2;5;3,6;18,27
Nord Ovest;Piemonte;AL;A182;64,63;221,96;179,98;123,89;111,56;702,02
Sud;Calabria;CS;A183;1;1;0;0;0;2
Sud;Puglia;LE;A184;2;7,67;2,67;4;7,75;24,09
Sud;Puglia;LE;A185;1;7,8;13,72;16;10,49;49,01
Sud;Campania;SA;A186;0;0;1;0;0;1
Sud;Abruzzo ;AQ;A187;5;11;4;3;1;24
Nord Ovest;Lombardia;BS;A188;0;1;1;2;8,83;12,83
Nord Ovest;Piemonte;AL;A189;0;0;0;0;4;4
Nord Est;Emilia-Romagna;RA;A191;0;17,5;20,5;15,5;24,62;78,12
Isole;Sardegna;SS;A192;60,63;200,81;119,79;68,92;23,67;473,82
