AREA;Regione;prov;2014_CodFitt;NTN 2014 fino a 50 mq;NTN 2014 50 -| 85 mq;NTN 2014 85 -| 115 mq;NTN 2014 115 -| 145 mq;NTN 2014 oltre 145;NTN 2014
Nord Ovest;Lombardia;CO;I860;2;3,75;1,5;0;1;8,25
Nord Ovest;Lombardia;CO;I943;0;0;0;0;0;0
Nord Ovest;Lombardia;CO;L071;3;18,67;17,5;10;9,5;58,67
Nord Ovest;Lombardia;CO;L228;0;3;1;0,5;1;5,5
Nord Ovest;Lombardia;CO;L413;1;1;0;0;0;2
Nord Ovest;Lombardia;CO;L470;3,5;30,75;20,5;13;13;80,75
Nord Ovest;Lombardia;CO;L487;1;9,5;10,5;11,1;16;48,1
Nord Ovest;Lombardia;CO;L547;3;10;2;3,5;4;22,5
Nord Ovest;Lombardia;CO;L640;1;4;3,5;1,87;4;14,37
Nord Ovest;Lombardia;CO;L715;0;0;0;1;1;2
Nord Ovest;Lombardia;CO;L737;1;8,33;5,5;6,33;6;27,16
Nord Ovest;Lombardia;CO;L748;2;5,5;1,5;1;0;10
Nord Ovest;Lombardia;CO;L792;3;4;5,75;10;13;35,75
Nord Ovest;Lombardia;CO;L956;7;23,13;16;11,5;8,5;66,13
Nord Ovest;Lombardia;CO;M156;0;0;1;2;2,34;5,34
Nord Ovest;Lombardia;CO;M315;5;14,61;13,42;2;0;35,03
Nord Ovest;Lombardia;CO;M335;5,5;18,16;12,85;9;11,67;57,18
Nord Ovest;Lombardia;CO;M336;0;12,33;11,33;10;5,29;38,95
Nord Ovest;Lombardia;CO;M341;7;13,89;16,67;13;11,27;61,83
Nord Ovest;Lombardia;CR;A039;0;0;1;4;1,25;6,25
Nord Ovest;Lombardia;CR;A076;2;14,5;10,5;8,5;2,75;38,25
Nord Ovest;Lombardia;CR;A299;0;1;0,5;3,5;2,5;7,5
