Area;Regione;Provincia;2025_CodCom;NTN_2025_Depositi_Pert;NTN_2025_Box
Nord Ovest;Piemonte;TO;B232;7;12
Sud;Calabria;RC;B234;0;0
Nord Ovest;Lombardia;MI;B235;5;50,91
Nord Ovest;Piemonte;AT;B236;4;2
Isole;Sicilia;SR;B237;5;11
Sud;Abruzzo;CH;B238;7,25;19,17
Sud;Campania;BN;B239;3,6;0
Nord Ovest;Lombardia;MI;B240;120,37;340,23
Sud;Campania;SA;B242;4;6,5
Centro;Toscana;AR;B243;34;70,35
Isole;Sardegna;SS;B246;0;5
Nord Est;Friuli- Venezia Giulia;PN;B247;1,92;13,92
Isole;Sardegna;NU;B248;11;62,5
Nord Est;Emilia-Romagna;BO;B249;50,18;173,75
Isole;Sardegna;CA;B250;2,9;5
Centro;Toscana;PT;B251;16,49;92,46
Nord Ovest;Lombardia;SO;B255;15,99;13,33
Sud;Abruzzo;AQ;B256;3;6,33
Nord Ovest;Lombardia;VA;B258;7;35,67
Nord Est;Friuli- Venezia Giulia;UD;B259;7,83;36,33
Nord Ovest;Lombardia;LC;B261;22;50
Nord Ovest;Lombardia;CO;B262;10,17;32,55
Isole;Sardegna;SS;B264;2;0
Isole;Sardegna;SS;B265;0;1
Sud;Campania;SA;B266;0;2
Sud;Campania;BN;B267;2;1
Sud;Abruzzo;CH;B268;0;0
Centro;Toscana;SI;B269;9,58;20,65
Sud;Calabria;CS;B270;0;2
Nord Ovest;Lombardia;MI;B272;20,5;73,33
Isole;Sardegna;CA;B274;0;0
Isole;Sicilia;AG;B275;14,99;2
Isole;Sardegna;SS;B276;0;0
Nord Ovest;Piemonte;TO;B278;7;12,5
Nord Ovest;Piemonte;TO;B279;1,95;8,95
Nord Ovest;Piemonte;VC;B280;2;6
Isole;Sardegna;OR;B281;0;0
Nord Ovest;Liguria;GE;B282;27,34;27,78
Nord Ovest;Piemonte;TO;B284;7;18,5
Nord Ovest;Piemonte;CN;B285;53,96;99,41
Nord Ovest;Lombardia;MI;B286;22;63,07
Isole;Sicilia;SR;B287;5;3
Isole;Sicilia;TP;B288;0;1
Nord Ovest;Lombardia;MI;B289;10;94,57
Nord Ovest;Lombardia;MI;B292;45,5;94,33
Nord Est;Emilia-Romagna;PR;B293;7,5;67,5
Sud;Abruzzo;PE;B294;1;6
Sud;Molise;CB;B295;4;6
Nord Est;Veneto;VR;B296;71,36;236,34
Nord Ovest;Piemonte;TO;B297;24,5;49,93
Nord Ovest;Lombardia;VA;B300;494,72;1124,36
Nord Ovest;Lombardia;MI;B301;43,5;203,91
Isole;Sicilia;CL;B302;16;3,17
Centro;Toscana;PI;B303;15,67;27,33
Nord Est;Veneto;VR;B304;18;68,66
Nord Ovest;Piemonte;TO;B305;23,16;64,33
Nord Ovest;Piemonte;AT;B306;3;23,34
Nord Est;Friuli- Venezia Giulia;UD;B309;7;44,5
Nord Ovest;Lombardia;BG;B310;5,91;84,73
Nord Ovest;Piemonte;AL;B311;6;4
Nord Ovest;Lombardia;VA;B312;4;3,5
Nord Ovest;Lombardia;CO;B313;20,65;64,04
Isole;Sardegna;OR;B314;5;13,97
