Area;Regione;Provincia;2025_CodCom;NTN 2025 fino a 50 mq;NTN 2025 50 -| 85 mq;NTN 2025 85 -| 115 mq;NTN 2025 115 -| 145 mq;NTN 2025 oltre 145 mq;NTN_2025
Isole;Sardegna;SS;A069;1;3;3,67;4;0,5;12,17
Isole;Sicilia;EN;A070;15,17;11,65;24,42;17,14;10,06;78,44
Centro;Toscana;PT;A071;2;53;41;31,5;49,75;177,25
Nord Ovest;Piemonte;AT;A072;1;4,5;7,5;3,5;15;31,5
Nord Ovest;Piemonte;TO;A074;4;7;10;8;16;45
Nord Est;Veneto;PD;A075;0;4;6;12,67;20;42,67
Nord Ovest;Lombardia;CR;A076;2;16,5;17,5;12;17;65
Sud;Calabria;RC;A077;0;0;0;2;1,31;3,31
Sud;Molise;IS;A080;0;5,5;6,42;8,27;11,23;31,42
Centro;Lazio;FR;A081;1;1;2;0;5,25;9,25
Nord Ovest;Lombardia;BS;A082;0;2;5;3;3,67;13,67
Nord Est;Veneto;BL;A083;5;29,33;8,83;8,83;14,5;66,49
Centro;Lazio;RM;A084;6,34;8,5;4;3;2;23,84
Nord Ovest;Lombardia;VA;A085;1,5;5,17;3;0;9;18,67
Nord Ovest;Lombardia;MI;A087;29;92,07;91,33;59,22;27,25;298,87
Nord Ovest;Piemonte;NO;A088;0;4;3;6;14;27
Isole;Sicilia;AG;A089;52,05;171,28;171,99;173,83;136,18;705,33
Sud;Campania;SA;A091;30,92;105,94;90,19;44,25;37,83;309,13
Centro;Marche;AN;A092;2;11,5;17;11;15;56,5
Nord Est;Veneto;VI;A093;0;1;1;1,17;3,5;6,67
Nord Ovest;Valle d'Aosta;AO;A094;30,84;34,31;6,5;5,78;11,5;88,93
