AREA;Regione;prov;2013_CodCom;NTN 2013 fino a 50 mq;NTN 2013 50 -| 85 mq;NTN 2013 85 -| 115 mq;NTN 2013 115 -| 145 mq;NTN 2013 oltre 145 mq;NTN 2013
Nord Est;Veneto;PD;A161;5,86;58,7;77,94;61,89;65,17;269,56
Nord Est;Emilia-Romagna;RE;A162;1;5,67;5,5;5,9;16,5;34,57
Nord Ovest;Lombardia;BG;A163;7;34,17;39,15;15;11,94;107,26
Nord Ovest;Lombardia;CO;A164;1,33;8,33;6;2,33;1,5;19,49
Nord Ovest;Liguria;SV;A165;10;20,5;12,02;6;0,24;48,76
Nord Ovest;Liguria;SV;A166;16,5;56,16;23,55;12;2,5;110,71
Nord Ovest;Lombardia;VA;A167;0,55;11,88;6,5;6;5,37;30,3
Nord Ovest;Lombardia;PV;A171;0;0;1;0;1,5;2,5
Nord Ovest;Lombardia;SO;A172;3,11;3;4,07;0;2,33;12,51
Nord Ovest;Piemonte;AT;A173;0;0;0;0;0;0
Nord Ovest;Lombardia;PV;A175;1;10;6;1,5;3;21,5
Isole;Sicilia;TP;A176;37,11;67,22;85,1;34,3;36,09;259,82
Isole;Sicilia;ME;A177;1;2;3,67;1;0;7,67
Isole;Sardegna;OR;A180;1;0;0;1;2,88;4,88
Isole;Sicilia;AG;A181;2;5;3,5;2;3;15,5
Nord Ovest;Piemonte;AL;A182;48,7;210,91;173,23;93,8;100,67;627,31
Sud;Calabria;CS;A183;1;1;0;0;0;2
Sud;Puglia;LE;A184;3;10;5,88;2;4,33;25,21
Sud;Puglia;LE;A185;2;13,5;22;10,34;11,52;59,36
Sud;Campania;SA;A186;1;1;1;0;0;3
Sud;Abruzzo ;AQ;A187;2;22;5,75;1;0,14;30,89
Nord Ovest;Lombardia;BS;A188;1;2;0;2;5;10
