Area;Regione;prov;COD_COM;NTN_2017_Uffici;NTN_2017_Negozi_Lab;NTN_2017_Depositi_Comm_Autorimesse;NTN_2017_TCO_B04;NTN_2017_TCO_D02;NTN_2017_TCO_D05;NTN_2017_TCO_D08;NTN_2017_PRO;NTN_2017_AGR
"Nord Ovest";"Lombardia";"BG";"A163";3,000000;12,000000;17,670000;0,000000;0,000000;0,000000;1,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"CO";"A164";0,000000;0,000000;3,220000;0,000000;0,000000;0,000000;0,000000;0,040000;0,000000
"Nord Ovest";"Liguria";"SV";"A165";0,000000;3,000000;5,500000;0,000000;0,000000;0,000000;2,000000;1,080000;0,000000
"Nord Ovest";"Liguria";"SV";"A166";1,000000;5,000000;6,000000;0,000000;0,000000;0,000000;1,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"VA";"A167";0,000000;1,000000;1,670000;0,000000;0,000000;0,000000;0,000000;0,250000;0,000000
"Nord Ovest";"Lombardia";"PV";"A171";0,000000;0,000000;2,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"SO";"A172";0,000000;0,000000;8,360000;0,000000;0,000000;0,000000;0,000000;1,000000;1,000000
"Nord Ovest";"Piemonte";"AT";"A173";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"PV";"A175";0,000000;0,000000;2,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sicilia";"TP";"A176";3,000000;20,330000;62,950000;0,000000;0,000000;0,000000;0,000000;7,000000;0,000000
"Isole";"Sicilia";"ME";"A177";0,000000;0,000000;1,660000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sardegna";"OR";"A180";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sicilia";"AG";"A181";0,000000;1,000000;2,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Piemonte";"AL";"A182";18,500000;46,030000;75,870000;0,000000;0,000000;0,000000;6,000000;19,000000;0,000000
"Sud";"Calabria";"CS";"A183";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Puglia";"LE";"A184";0,000000;0,500000;4,830000;0,000000;0,000000;0,000000;1,000000;1,000000;0,000000
"Sud";"Puglia";"LE";"A185";0,000000;4,500000;8,750000;0,000000;0,000000;0,000000;0,000000;2,000000;1,000000
"Sud";"Campania";"SA";"A186";0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Abruzzo ";"AQ";"A187";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Nord Ovest";"Lombardia";"BS";"A188";0,000000;1,000000;2,750000;0,000000;0,000000;0,000000;2,000000;3,000000;1,000000
"Nord Ovest";"Piemonte";"AL";"A189";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;1,000000
"Nord Est";"Emilia-Romagna";"RA";"A191";0,000000;3,000000;7,000000;1,000000;0,000000;0,000000;2,080000;4,000000;5,000000
"Isole";"Sardegna";"SS";"A192";5,750000;11,500000;63,760000;0,000000;0,000000;0,000000;0,000000;8,000000;0,000000
"Nord Ovest";"Lombardia";"BG";"A193";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sicilia";"ME";"A194";0,000000;0,000000;1,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Isole";"Sicilia";"PA";"A195";0,000000;1,000000;5,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
"Sud";"Basilicata";"MT";"A196";0,000000;1,000000;5,000000;0,000000;0,000000;0,000000;0,000000;1,000000;0,000000
"Nord Ovest";"Piemonte";"AL";"A197";0,000000;0,000000;2,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
