Area;Regione;prov;2017_CodCom;NTN_2017_Box;NTN_2017_Depositi_Pert
"Sud";"Campania";"CE";"I306";52,060000;15,250000
"Sud";"Campania";"SA";"I307";6,000000;4,000000
"Sud";"Calabria";"KR";"I308";1,000000;1,000000
"Sud";"Calabria";"CS";"I309";0,000000;4,000000
"Nord Est";"Emilia-Romagna";"FO";"I310";9,000000;2,170000
"Isole";"Sicilia";"ME";"I311";16,280000;6,860000
"Isole";"Sardegna";"SS";"I312";41,500000;16,080000
"Isole";"Sicilia";"CT";"I314";18,580000;5,000000
"Centro";"Marche";"AP";"I315";1,000000;1,000000
"Nord Ovest";"Piemonte";"CN";"I316";25,000000;4,000000
"Sud";"Campania";"SA";"I317";9,000000;2,780000
"Sud";"Abruzzo ";"TE";"I318";37,170000;12,560000
"Nord Est";"Veneto";"PD";"I319";8,500000;0,000000
"Sud";"Molise";"CB";"I320";4,000000;1,000000
"Centro";"Lazio";"FR";"I321";4,500000;1,000000
"Sud";"Calabria";"CZ";"I322";1,000000;0,000000
"Centro";"Marche";"AP";"I324";31,400000;6,430000
"Sud";"Abruzzo ";"AQ";"I326";0,000000;1,000000
"Nord Ovest";"Piemonte";"TO";"I327";60,620000;3,000000
"Isole";"Sicilia";"ME";"I328";1,670000;1,000000
"Isole";"Sardegna";"NU";"I329";46,700000;7,000000
"Sud";"Puglia";"BA";"I330";58,510000;25,000000
"Sud";"Abruzzo ";"PE";"I332";0,000000;0,000000
"Sud";"Calabria";"RC";"I333";2,000000;1,000000
"Sud";"Abruzzo ";"CH";"I335";1,000000;1,000000
"Sud";"Abruzzo ";"AQ";"I336";0,000000;0,660000
"Nord Ovest";"Piemonte";"VC";"I337";39,560000;5,000000
"Centro";"Lazio";"LT";"I339";2,250000;1,000000
"Sud";"Calabria";"RC";"I341";3,000000;0,000000
"Nord Est";"Emilia-Romagna";"RE";"I342";80,980000;4,000000
"Centro";"Marche";"PS";"I344";0,670000;1,000000
"Nord Ovest";"Liguria";"GE";"I346";25,000000;19,420000
"Nord Est";"Veneto";"BL";"I347";6,500000;0,500000
"Sud";"Abruzzo ";"TE";"I348";8,000000;4,000000
"Sud";"Calabria";"VV";"I350";0,000000;0,000000
"Centro";"Lazio";"FR";"I351";1,000000;1,000000
"Centro";"Lazio";"RM";"I352";4,000000;7,500000
"Nord Est";"Veneto";"VI";"I353";37,330000;3,000000
"Isole";"Sicilia";"AG";"I356";2,000000;7,000000
"Sud";"Campania";"AV";"I357";1,000000;1,000000
"Sud";"Calabria";"CS";"I359";2,000000;0,000000
"Sud";"Abruzzo ";"AQ";"I360";0,000000;0,000000
"Nord Ovest";"Lombardia";"MI";"I361";65,230000;10,500000
"Nord Ovest";"Lombardia";"LO";"I362";7,000000;8,560000
"Nord Ovest";"Liguria";"SP";"I363";131,330000;53,900000
"Centro";"Lazio";"FR";"I364";1,000000;0,000000
"Nord Ovest";"Liguria";"IM";"I365";48,000000;13,670000
"Nord Ovest";"Piemonte";"CN";"I367";21,000000;1,790000
"Nord Ovest";"Liguria";"GE";"I368";5,830000;0,000000
"Isole";"Sicilia";"ME";"I370";6,170000;11,290000
"Sud";"Calabria";"RC";"I371";1,250000;1,000000
"Nord Ovest";"Piemonte";"CN";"I372";5,000000;2,000000
"Nord Est";"Veneto";"VE";"I373";84,000000;17,840000
"Isole";"Sardegna";"OR";"I374";2,000000;1,600000
"Nord Est";"Veneto";"PD";"I375";3,000000;0,000000
"Sud";"Abruzzo ";"PE";"I376";4,000000;0,250000
"Sud";"Campania";"SA";"I377";7,000000;2,000000
"Centro";"Umbria";"TR";"I381";1,000000;3,000000
"Nord Est";"Veneto";"TV";"I382";82,250000;10,560000
"Isole";"Sardegna";"OR";"I384";1,000000;0,000000
"Sud";"Calabria";"CS";"I388";2,000000;1,000000
"Sud";"Abruzzo ";"AQ";"I389";2,500000;0,000000
"Centro";"Toscana";"LI";"I390";84,690000;10,300000
"Sud";"Campania";"NA";"I391";56,670000;6,670000
"Nord Est";"Veneto";"BL";"I392";29,300000;14,000000
"Sud";"Calabria";"CZ";"I393";0,000000;0,000000
"Sud";"Abruzzo ";"CH";"I394";23,000000;5,000000
"Sud";"Puglia";"BR";"I396";22,580000;14,500000
"Centro";"Lazio";"RM";"I400";2,000000;6,000000
"Nord Est";"Veneto";"VI";"I401";24,830000;0,000000
"Isole";"Sardegna";"CA";"I402";2,000000;1,000000
"Nord Est";"Friuli- Venezia Giulia";"PN";"I403";137,200000;9,000000
"Nord Est";"Friuli- Venezia Giulia";"UD";"I405";23,500000;7,000000
"Isole";"Sicilia";"TP";"I407";43,560000;2,500000
"Centro";"Lazio";"FR";"I408";0,000000;1,000000
"Nord Ovest";"Lombardia";"MI";"I409";69,650000;11,250000
"Sud";"Campania";"SA";"I410";3,100000;1,000000
"Nord Ovest";"Lombardia";"BS";"I412";41,500000;2,000000
"Nord Est";"Veneto";"VR";"I414";35,170000;2,000000
"Nord Ovest";"Lombardia";"MI";"I415";45,000000;4,000000
"Nord Ovest";"Lombardia";"PV";"I416";1,000000;0,000000
"Nord Est";"Veneto";"TV";"I417";45,000000;5,000000
