Area;Regione;Provincia;2023_CodCom;Comune;Cod_Istat
Centro;Toscana;FI;A564;BAGNO A RIPOLI;48001
Nord Est;Emilia-Romagna;FO;A565;BAGNO DI ROMAGNA;40001
Sud;Campania;AV;A566;BAGNOLI IRPINO;64009
Sud;Molise;IS;A567;BAGNOLI DEL TRIGNO;94003
Nord Est;Veneto;PD;A568;BAGNOLI DI SOPRA;28008
Nord Ovest;Lombardia;BS;A569;BAGNOLO MELLA;17009
Nord Ovest;Lombardia;CR;A570;BAGNOLO CREMASCO;19005
Nord Ovest;Piemonte;CN;A571;BAGNOLO PIEMONTE;4009
Sud;Puglia;LE;A572;BAGNOLO DEL SALENTO;75008
Nord Est;Emilia-Romagna;RE;A573;BAGNOLO IN PIANO;35002
Nord Est;Veneto;RO;A574;BAGNOLO DI PO;29005
Nord Ovest;Lombardia;MN;A575;BAGNOLO SAN VITO;20003
Centro;Toscana;MS;A576;BAGNONE;45002
Centro;Lazio;VT;A577;BAGNOREGIO;56003
Nord Ovest;Lombardia;BS;A578;BAGOLINO;17010
Sud;Campania;CE;A579;BAIA E LATINA;61006
Sud;Campania;AV;A580;BAIANO;64010
Nord Ovest;Liguria;IM;A581;BAIARDO;8007
Nord Ovest;Piemonte;TO;A584;BAIRO;1015
Nord Est;Emilia-Romagna;RE;A586;BAISO;35003
Nord Ovest;Piemonte;TO;A587;BALANGERO;1016
Nord Ovest;Piemonte;AT;A588;BALDICHIERI D`ASTI;5007
Nord Ovest;Piemonte;CN;A589;BALDISSERO D`ALBA;4010
Nord Ovest;Piemonte;TO;A590;BALDISSERO CANAVESE;1017
Nord Ovest;Piemonte;TO;A591;BALDISSERO TORINESE;1018
Isole;Sicilia;PA;A592;BALESTRATE;82007
Nord Ovest;Liguria;SV;A593;BALESTRINO;9008
Nord Ovest;Lombardia;LC;A594;BALLABIO;97004
Isole;Sardegna;CA;A597;BALLAO;111003
Nord Ovest;Piemonte;TO;A599;BALME;1019
