Area;Regione;Provincia;2022_CodCom;NTN 2022 fino a 50 mq;NTN  2022 50 -| 85 mq;NTN 2022 85 -| 115 mq;NTN  2022 115 -| 145 mq;NTN  2022 oltre 145 mq;NTN_2022
Sud;Puglia;BA;A662;637,7;1596,19;1521,75;938,68;555,08;5249,4
Isole;Sardegna;NU;A663;3;14,3;3;8,22;5,6;34,12
Nord Ovest;Lombardia;BG;A664;0;2;10;10,39;8,25;30,64
Nord Est;Emilia-Romagna;BO;A665;7;49,34;38,5;23,34;26,33;144,51
Sud;Basilicata;PZ;A666;3;4,5;6,25;7;3,17;23,92
Sud;Abruzzo;AQ;A667;0;3,66;2,5;2,5;4,33;12,99
Nord Ovest;Lombardia;MI;A668;17;32,99;29;17,5;16;112,49
Sud;Puglia;BA;A669;142,31;280,32;261,66;148,49;94,25;927,03
Nord Ovest;Lombardia;CO;A670;6;5;1;2;1;15
Nord Ovest;Piemonte;CN;A671;0;0;0;3;2;5
Nord Ovest;Piemonte;TO;A673;2;0;0;1;6;9
Sud;Campania;SA;A674;9;36;73,8;41,04;28,5;188,34
Isole;Sicilia;EN;A676;11;6,16;17,96;8;22,5;65,62
Isole;Sardegna;CA;A677;1;1;0;1;2;5
Sud;Abruzzo;AQ;A678;8;16;8,5;0;1;33,5
Isole;Sardegna;CA;A681;0;1;0;0;3,34;4,34
Nord Ovest;Lombardia;LC;A683;2;6;11;3;5;27
Nord Ovest;Lombardia;BG;A684;0;4;8,5;3,5;2;18
Nord Ovest;Lombardia;LC;A686;3;16;21;16,33;22,5;78,83
Nord Ovest;Lombardia;LC;A687;13,14;33,83;18,02;5,14;4,28;74,41
Nord Ovest;Piemonte;AL;A689;1;5;7;4;6;23
Nord Ovest;Lombardia;PV;A690;1;7;2;4;3;17
Centro;Umbria;TR;A691;2;6,5;9;6;19;42,5
Sud;Abruzzo;TE;A692;0;3;3;5;1;12
Sud;Campania;BN;A696;1,86;3;1;1;9;15,86
Nord Ovest;Lombardia;MI;A697;0;25,57;26,5;10,5;8;70,57
Isole;Sicilia;ME;A698;0;3;0;1,33;1;5,33
Nord Ovest;Lombardia;MI;A699;4;101,4;107;110,5;55,83;378,73
Nord Est;Friuli- Venezia Giulia;UD;A700;0;6;8;6,5;26,39;46,89
Centro;Lazio;VT;A701;9;8;15;8;7,8;47,8
Nord Ovest;Lombardia;BS;A702;0;6;5,5;6,36;13,01;30,87
Nord Est;Veneto;VI;A703;34,5;150,56;127;105;166,75;583,81
Centro;Lazio;VT;A704;10;17,83;12;6;13;58,83
Nord Ovest;Lombardia;VA;A705;2;4;3,9;0;2;11,9
Centro;Lazio;VT;A706;7,5;10;2;2;6;27,5
Centro;Lazio;LT;A707;7;14;5;2;3;31
Nord Ovest;Piemonte;AL;A708;6;3;6,5;4;15;34,5
Nord Ovest;Piemonte;CN;A709;0;2;2;2;4;10
Centro;Umbria;PG;A710;11,83;91,5;87,33;58,99;46;295,65
Nord Ovest;Lombardia;PV;A712;0;4,17;5;1;4;14,17
