AREA;Regione;prov;2016_CodCom;NTN 2016 fino a 50_mq;NTN 2016 50 -| 85 mq;NTN 2016 85 -| 115 mq;NTN 2016 115 -| 145 mq;NTN 2016 oltre 145 mq;NTN 2016_TOTALE
Nord Ovest;Lombardia;BS;C760;0;1;2;1,5;2;6,5
Nord Ovest;Lombardia;BS;C806;0;10;20,67;14,25;12,5;57,42
Nord Ovest;Lombardia;BS;C850;0;10;24;10,86;9,5;54,36
Nord Ovest;Lombardia;BS;C883;0;7,77;1,85;2,68;2,75;15,05
Nord Ovest;Lombardia;BS;C893;4;14,75;23,17;9,5;26,78;78,2
Nord Ovest;Lombardia;BS;C925;0,33;2;15;12,33;10,34;40
Nord Ovest;Lombardia;BS;C948;4;30;33,28;29,5;40,22;137
Nord Ovest;Lombardia;BS;D058;0;17;14,57;13;6,6;51,17
Nord Ovest;Lombardia;BS;D064;23,67;32,69;6;2,67;1;66,03
Nord Ovest;Lombardia;BS;D082;0;4;3,5;1;1;9,5
Nord Ovest;Lombardia;BS;D251;9;30,75;34,58;13;25;112,33
Nord Ovest;Lombardia;BS;D270;1;13;10,67;6,25;15,2;46,12
Nord Ovest;Lombardia;BS;D284;44,46;174,29;112,24;65,22;58,11;454,32
Nord Ovest;Lombardia;BS;D391;1;17;8,1;8;4;38,1
Nord Ovest;Lombardia;BS;D421;1;11,17;18;6;21,92;58,09
Nord Ovest;Lombardia;BS;D434;1;8,4;7;6;6,4;28,8
Nord Ovest;Lombardia;BS;D576;0;1;3;1;4,33;9,33
Nord Ovest;Lombardia;BS;D634;3;18,5;26,5;14;22,78;84,78
Nord Ovest;Lombardia;BS;D891;0,5;1;7;4;9,01;21,51
Nord Ovest;Lombardia;BS;D917;12;16,17;13,83;8,84;16;66,84
Nord Ovest;Lombardia;BS;D918;7,67;18,5;25,99;10,83;4,75;67,74
Nord Ovest;Lombardia;BS;D924;9;11;6,17;9,5;18,5;54,17
Nord Ovest;Lombardia;BS;D940;5;16,5;26,05;19;25,17;91,72
Nord Ovest;Lombardia;BS;D999;3;38,5;58;30,33;42,41;172,24
Nord Ovest;Lombardia;BS;E010;0;4;5;3;2,5;14,5
Nord Ovest;Lombardia;BS;E116;0;6;3;4,33;9,66;22,99
Nord Ovest;Lombardia;BS;E271;1;40,83;28,83;16;35,67;122,33
Nord Ovest;Lombardia;BS;E280;2;6,5;1;6;3;18,5
Nord Ovest;Lombardia;BS;E297;0;2;0;0;1;3
Nord Ovest;Lombardia;BS;E325;1;1;0;0;0;2
