AREA;Regione;prov;2018_CodCom;NTN fino a 50 mq;NTN 50 -| 85 mq;NTN  85 -| 115 mq;NTN 115 -| 145 mq;NTN  oltre 145 mq;NTN 2018
Nord Est;Veneto;BL;A083;4;14,17;20,75;8,33;15,84;63,09
Centro;Lazio;RM;A084;2,75;2,75;2,5;2;0;10
Nord Ovest;Lombardia;VA;A085;2;2;3,44;0,67;2;10,11
Nord Ovest;Lombardia;MI;A087;13,67;73,34;80,67;26,5;18;212,18
Nord Ovest;Piemonte;NO;A088;0;2;3;5;6,5;16,5
Isole;Sicilia;AG;A089;47,09;99,61;100,02;121,88;71,07;439,67
Sud;Campania;SA;A091;44,25;67,17;72;31,89;19,42;234,73
Centro;Marche;AN;A092;1;10,3;8,5;7;12,5;39,3
Nord Est;Veneto;VI;A093;0;1,5;1;1;3,33;6,83
Nord Ovest;Valle d'Aosta;AO;A094;15,5;35,83;11,5;6;1;69,83
Nord Ovest;Lombardia;MI;A096;4;7,67;6,83;4;7,53;30,03
Isole;Sardegna;OR;A097;0;0;0;0;0,5;0,5
Isole;Sicilia;EN;A098;4,92;6,63;3;2,93;7;24,48
Sud;Abruzzo ;AQ;A100;0;1;2;0;1;4
Sud;Campania;AV;A101;2;8,58;5,3;7,3;9;32,18
Sud;Calabria;CS;A102;0;0;1;0;0;1
Sud;Calabria;CS;A105;0;0;0;1;0;1
Sud;Campania;CE;A106;0;0;0;0;0;0
Nord Ovest;Piemonte;BI;A107;0;1;1;1;1;4
Nord Ovest;Valle d'Aosta;AO;A108;1;5;4;2;5;17
Nord Ovest;Piemonte;TO;A109;6;13;6,5;2;4;31,5
Sud;Campania;BN;A110;10;3;12;10;29,6;64,6
Nord Ovest;Liguria;IM;A111;0;3;3;0;0;6
Nord Ovest;Lombardia;LC;A112;2;3,66;8,5;4,25;1;19,41
Nord Ovest;Piemonte;CN;A113;1,5;2,5;1;0;1;6
Isole;Sardegna;SS;A115;0;0;2;0,5;0;2,5
Nord Ovest;Piemonte;TO;A117;1;8;5;3;7,17;24,17
Nord Ovest;Lombardia;PV;A118;0;1;0;2;2;5
Nord Ovest;Piemonte;VC;A119;6;9;4;2;3;24
Sud;Abruzzo ;PE;A120;1;1;1;3,5;4,5;11
Nord Est;Veneto;BL;A121;0,5;7;7,33;3,66;5,67;24,16
Nord Ovest;Liguria;SV;A122;45,56;121,33;77,83;30,42;12,25;287,39
Centro;Lazio;FR;A123;5,25;17,5;20,17;20,3;32,33;95,55
Nord Ovest;Piemonte;CN;A124;38;119,74;120,77;60,45;53,02;391,98
Sud;Abruzzo ;TE;A125;75;177,66;48,32;21,34;11,05;333,37
Isole;Sardegna;OR;A126;0;0;0;0;0;0
Nord Ovest;Lombardia;MI;A127;0;11,5;17,17;7,33;7;43
Sud;Campania;SA;A128;0;6;4,67;3;3;16,67
Nord Ovest;Lombardia;BG;A129;4;33;41,3;17,89;11;107,19
Nord Ovest;Piemonte;VC;A130;1;0;3,25;1;1;6,25
Sud;Basilicata;PZ;A131;1,67;2;1;0;1;5,67
Centro;Lazio;RM;A132;26;127,77;116,58;41,65;48,34;360,34
Nord Ovest;Lombardia;PV;A134;0;0;0;0;1;1
Nord Ovest;Lombardia;SO;A135;0;1,1;0;0;0,66;1,76
Nord Est;Veneto;VR;A137;0,5;7,5;12;5,5;13,67;39,17
Nord Est;Emilia-Romagna;PR;A138;0;1;3,5;3,5;8;16
Nord Ovest;Piemonte;CN;A139;0;1;0;1;0;2
Nord Ovest;Lombardia;CO;A143;7;25,23;19,83;12;12;76,06
Nord Ovest;Liguria;SV;A145;35,5;125,04;57,83;26,34;17,51;262,22
Nord Ovest;Piemonte;AL;A146;6;1,33;0;0;1;8,33
Sud;Puglia;BA;A149;8,03;18,67;25,88;21,67;18,5;92,75
Sud;Puglia;FG;A150;0;4;1;0;4;9
Nord Ovest;Lombardia;CO;A153;2;8;7,33;7,5;12,5;37,33
Nord Est;Veneto;VI;A154;0;2;3;5;4,25;14,25
Sud;Calabria;CZ;A155;0;1;2;0;3,16;6,16
Nord Ovest;Piemonte;TO;A157;1;3;3;2;1;10
Nord Ovest;Lombardia;MI;A159;4;23,66;21,67;10,5;7,17;67
Sud;Calabria;CS;A160;1;0;0;0;1;2
Nord Est;Veneto;PD;A161;10,84;80,98;92,42;73,64;104,45;362,33
Nord Est;Emilia-Romagna;RE;A162;3;15,5;22,22;14,5;32,69;87,91
Nord Ovest;Lombardia;BG;A163;11;36,25;55,5;27;24,11;153,86
Nord Ovest;Lombardia;CO;A164;1;2;7;3,5;10,5;24
Nord Ovest;Liguria;SV;A165;13,5;31,2;22;11,5;4;82,2
Nord Ovest;Liguria;SV;A166;14;53,33;25,01;16,25;8,5;117,09
Nord Ovest;Lombardia;VA;A167;1;18;12,99;11,5;14,2;57,69
Nord Ovest;Lombardia;PV;A171;0;0;0,5;0;2,67;3,17
Nord Ovest;Lombardia;SO;A172;7,2;6,83;2;3,8;2;21,83
Nord Ovest;Piemonte;AT;A173;0;1;1;1;1;4
Nord Ovest;Lombardia;PV;A175;2,5;14;13;8,67;12,5;50,67
Isole;Sicilia;TP;A176;44,05;85,78;101,46;51,58;52;334,87
Isole;Sicilia;ME;A177;0;1;1;0;0;2
Isole;Sardegna;OR;A180;0;0,5;0;3;2,22;5,72
Isole;Sicilia;AG;A181;4;4,5;5,5;1;1;16
Nord Ovest;Piemonte;AL;A182;60,03;300,25;261,45;122,83;160,19;904,75
Sud;Calabria;CS;A183;0;1;0;1;0;2
Sud;Puglia;LE;A184;2;3,5;7;9;10,08;31,58
Sud;Puglia;LE;A185;4;8,8;19,6;6,34;9,5;48,24
Sud;Campania;SA;A186;1;0;0;0;1,98;2,98
Sud;Abruzzo ;AQ;A187;3;12;5;0;0;20
Nord Ovest;Lombardia;BS;A188;0;0;4;0;4,5;8,5
Nord Ovest;Piemonte;AL;A189;0;0;0;2;5;7
Nord Est;Emilia-Romagna;RA;A191;0;15,67;18,83;15;17;66,5
Isole;Sardegna;SS;A192;87,66;222,89;146,28;71,89;39,76;568,48
Nord Ovest;Lombardia;BG;A193;1,06;3;2,86;0;2,17;9,09
Isole;Sicilia;ME;A194;0;1;0;2;1;4
Isole;Sicilia;PA;A195;2;6,11;1;3;3;15,11
Sud;Basilicata;MT;A196;0;0,5;1;2;1,5;5
Nord Ovest;Piemonte;AL;A197;0;0;2;2;1;5
Nord Ovest;Piemonte;VC;A198;0;0;0;0;4;4
Nord Ovest;Piemonte;TO;A199;1;1;0;1;3,5;6,5
Sud;Campania;CE;A200;2;4;4;4,67;6,5;21,17
Isole;Sicilia;ME;A201;0,5;9,23;8,67;3,84;2;24,24
Isole;Sicilia;PA;A202;3;0;3,8;2;7,92;16,72
Isole;Sicilia;PA;A203;0;0;1,33;1;0;2,33
Isole;Sardegna;OR;A204;0;0;1;0;1;2
Nord Ovest;Valle d'Aosta;AO;A205;0;0;1;2;1;4
Nord Est;Veneto;BL;A206;9;11;12;4,67;1;37,67
Centro;Umbria;TR;A207;0;1;2,13;3;0,13;6,26
Sud;Puglia;LE;A208;2,5;20,64;13;14,17;8;58,31
Centro;Lazio;RM;A210;2;9,5;3,25;6;2;22,75
Nord Ovest;Lombardia;BG;A214;5,97;5;12,5;4,53;8,33;36,33
Nord Ovest;Lombardia;BG;A215;2;6,33;8,42;6,65;9,47;32,87
Nord Ovest;Lombardia;BG;A216;4,5;18,83;18;18,1;17,64;77,07
Nord Ovest;Lombardia;BG;A217;0;10,17;17,5;12,33;12,63;52,63
Nord Ovest;Piemonte;TO;A218;7;11,11;19;7,25;28,91;73,27
Nord Est;Veneto;VI;A220;1;1;1;6;5,95;14,95
Nord Ovest;Piemonte;TO;A221;0;1;1;1;1;4
Nord Ovest;Piemonte;TO;A222;2;103,9;69,42;24,5;44,67;244,49
Nord Est;Emilia-Romagna;PC;A223;0;0;18;15,81;28,27;62,08
Nord Ovest;Lombardia;CO;A224;0;2;4;2;3;11
Sud;Puglia;BA;A225;34;105,3;169,7;113,43;61,09;483,52
Nord Ovest;Liguria;SV;A226;4;6,5;8;1;3,11;22,61
Nord Ovest;Piemonte;AL;A227;0;0;0;0,83;2;2,83
Sud;Campania;AV;A228;4,55;6;7;3,55;5;26,1
Isole;Sicilia;PA;A229;5,66;13,6;25,18;34;18,83;97,27
