AREA;Regione;prov;2018_CodCom;NTN_2018_Box;NTN_2018_Depositi_Pert
Nord Est;Friuli- Venezia Giulia;PN;D804;1;1
Nord Ovest;Piemonte;TO;D805;7;2
Centro;Marche;PS;D807;2;1
Centro;Marche;PS;D808;0;0
Centro;Lazio;FR;D810;63,47;29,68
Sud;Molise;IS;D811;2;2
Nord Ovest;Piemonte;TO;D812;14,5;1
Nord Ovest;Piemonte;AL;D813;11,5;0
Nord Ovest;Piemonte;AL;D814;23,75;6
Centro;Toscana;FI;D815;99,67;15
Nord Ovest;Lombardia;BG;D817;1,25;4
Nord Est;Veneto;VR;D818;19,84;2,5
Centro;Lazio;FR;D819;2,4;0
Sud;Abruzzo ;CH;D823;2;0
Isole;Sicilia;ME;D824;9,91;2
Isole;Sicilia;ME;D825;17,4;5
Sud;Campania;SA;D826;0;0
Isole;Sardegna;CA;D827;0;0
Sud;Calabria;CS;D828;5;6,5
Nord Est;Emilia-Romagna;RA;D829;54,27;1
Nord Ovest;Lombardia;SO;D830;0;1
Sud;Campania;SA;D832;1;2
Nord Ovest;Lombardia;CR;D834;1;1
Nord Ovest;Piemonte;AL;D835;3;1
Centro;Marche;PS;D836;43,8;9,5
Nord Ovest;Valle d'Aosta;AO;D839;1,17;1,33
Nord Ovest;Lombardia;CR;D841;16,5;0,33
Isole;Sardegna;NU;D842;0;0
Centro;Lazio;LT;D843;52,97;34,47
Isole;Sicilia;ME;D844;13;4,5
Nord Ovest;Lombardia;MI;D845;129,29;18
Nord Est;Emilia-Romagna;BO;D847;31,68;8
Nord Ovest;Piemonte;BI;D848;29,5;6
Isole;Sicilia;EN;D849;6;4,08
Sud;Abruzzo ;AQ;D850;2;0,25
Sud;Puglia;LE;D851;0;1
Sud;Calabria;CZ;D852;0;2
Centro;Marche;MC;D853;0;0
Nord Est;Veneto;TV;D854;32;4
Nord Est;Veneto;RO;D855;2,5;0
Nord Ovest;Piemonte;CN;D856;1;3
Centro;Toscana;SI;D858;23;9,95
Isole;Sardegna;NU;D859;1;1
Isole;Sicilia;ME;D861;0;5,34
Sud;Puglia;LE;D862;38;15,24
Sud;Puglia;LE;D863;12,94;4,67
Sud;Calabria;RC;D864;0;2
Nord Ovest;Lombardia;LC;D865;56,01;9,24
Nord Est;Emilia-Romagna;FO;D867;9,45;0
Nord Ovest;Lombardia;LO;D868;32,6;3
Nord Ovest;Lombardia;VA;D869;650,11;65,95
Centro;Lazio;VT;D870;2;1
Nord Ovest;Lombardia;VA;D871;5;0
Nord Ovest;Piemonte;NO;D872;141,36;22
Nord Ovest;Lombardia;PV;D873;0;0
Centro;Toscana;LU;D874;8;5,5
Centro;Lazio;RM;D875;12;12
Sud;Basilicata;PZ;D876;0;0
Nord Est;Emilia-Romagna;BO;D878;59,5;3
Nord Est;Veneto;PD;D879;59,68;7
Centro;Lazio;FR;D881;0;1
Nord Est;Veneto;VI;D882;100,53;7,5
Sud;Puglia;LE;D883;131,37;17,58
Sud;Campania;CE;D884;1;0
