AREA;Regione;prov;2011_CodCom;NTN 2011 fino a 50 mq;NTN 2011  50 -| 85 mq;NTN 2011  85 -| 115 mq;NTN 2011 115 -| 145 mq;NTN 2011 oltre 145 mq;NTN 2011
Nord Ovest;Liguria;IM;G164;17,5;28;23,02;10;4;82,52
Nord Ovest;Liguria;IM;G454;11;19;2;2;3;37
Nord Ovest;Liguria;IM;G607;2,83;5;4;2;1;14,83
Nord Ovest;Liguria;IM;G632;2,33;2;4,33;2;3;13,66
Nord Ovest;Liguria;IM;G660;6;9;0;2;1;18
Nord Ovest;Liguria;IM;G814;3;2;1;1;2;9
Nord Ovest;Liguria;IM;G840;8;7,5;5;4;3,5;28
Nord Ovest;Liguria;IM;G890;1;3;0;2;3,83;9,83
Nord Ovest;Liguria;IM;H027;1;2,5;2;2;1;8,5
Nord Ovest;Liguria;IM;H180;0;3;2;2;3,5;10,5
Nord Ovest;Liguria;IM;H257;1;1;2;2;2;8
Nord Ovest;Liguria;IM;H328;9,5;28,5;6,66;2,08;1;47,74
Nord Ovest;Liguria;IM;H460;0;0;1,5;0;1;2,5
Nord Ovest;Liguria;IM;H763;53,83;47,33;12;1;0;114,16
Nord Ovest;Liguria;IM;H780;3,5;1,5;1,5;0,5;0;7
Nord Ovest;Liguria;IM;H957;3;8,25;1,5;3;2;17,75
Nord Ovest;Liguria;IM;I138;243,96;347,57;136,42;59,94;48,25;836,14
Nord Ovest;Liguria;IM;I365;15,67;29,93;4,67;1;0;51,27
Nord Ovest;Liguria;IM;I556;3;0;1;0;1;5
Nord Ovest;Liguria;IM;I796;3;3;5;0;1;12
Nord Ovest;Liguria;IM;L024;35,83;59,93;25,9;11;7,67;140,33
Nord Ovest;Liguria;IM;L146;0;0;1;0;1;2
Nord Ovest;Liguria;IM;L430;2;3;3;2;2;12
Nord Ovest;Liguria;IM;L596;7;5;1,5;2;1;16,5
Nord Ovest;Liguria;IM;L599;21;32,33;13,22;2;2;70,55
Nord Ovest;Liguria;IM;L693;1,5;2;4;0;2;9,5
Nord Ovest;Liguria;IM;L741;69,83;106,93;35,33;11;8;231,09
Nord Ovest;Liguria;IM;L809;0;0;1;2;0;3
Nord Ovest;Liguria;IM;L943;4;11;2;0,17;0;17,17
Nord Ovest;Liguria;SP;A261;12,65;23,67;25,5;4,67;6,67;73,16
Nord Ovest;Liguria;SP;A373;11;44,25;20,25;10,5;11,75;97,75
Nord Ovest;Liguria;SP;A836;4;10,5;6,93;6,5;2;29,93
Nord Ovest;Liguria;SP;A932;2;13;21,67;14,75;7,5;58,92
Nord Ovest;Liguria;SP;A961;2,5;6,5;4,5;3,4;3;19,9
Nord Ovest;Liguria;SP;A992;2;4,5;4,89;0;1;12,39
Nord Ovest;Liguria;SP;B214;0;2,5;4;3;1;10,5
Nord Ovest;Liguria;SP;B410;2;5;4;3;4,75;18,75
Nord Ovest;Liguria;SP;B838;3;2;1;2;1,5;9,5
Nord Ovest;Liguria;SP;B839;0;2;1;0,5;0;3,5
Nord Ovest;Liguria;SP;C240;4,2;14,44;14,13;8,5;10,5;51,77
Nord Ovest;Liguria;SP;D265;5,63;11,01;4;0;0;20,64
Nord Ovest;Liguria;SP;D655;6;21,5;28;10;8;73,5
Nord Ovest;Liguria;SP;D758;0;6;1;0;1,5;8,5
Nord Ovest;Liguria;SP;E070;2;4,83;2,5;1;2;12,33
Nord Ovest;Liguria;SP;E463;121,95;388,63;318,83;113,34;66,95;1009,7
Nord Ovest;Liguria;SP;E542;40,58;71,41;30,17;10;5,83;157,99
Nord Ovest;Liguria;SP;E560;11,17;19,83;8,33;4;6;49,33
Nord Ovest;Liguria;SP;E842;2;3;1;0,03;0;6,03
Nord Ovest;Liguria;SP;F609;2;4,29;3;0;0,83;10,12
Nord Ovest;Liguria;SP;G143;10,92;22,33;12,89;4,89;10;61,03
Nord Ovest;Liguria;SP;G664;4,84;3,67;0;0;2,5;11,01
Nord Ovest;Liguria;SP;G925;11,5;16;4;1;0;32,5
Nord Ovest;Liguria;SP;H275;7,42;23,25;11;3;6,33;51
Nord Ovest;Liguria;SP;H304;6,75;11;1,5;1,83;0;21,08
Nord Ovest;Liguria;SP;H461;4,34;4;1,97;1;0,33;11,64
Nord Ovest;Liguria;SP;I363;6,75;63,83;28,92;19,5;5;124
Nord Ovest;Liguria;SP;I449;32,78;85,67;61,88;30,77;27,56;238,66
Nord Ovest;Liguria;SP;L681;1;4,52;6,46;4;6,33;22,31
Nord Ovest;Liguria;SP;L774;6;4,5;0;1;0;11,5
Nord Ovest;Liguria;SP;L819;9;13;18;7,5;5,5;53
